2021-02-10 10:41:21,981 - INFO - Starting the Bridge to Live PVs
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612774767789642 | compensation: 0 | factor: 0.51427242 | impact: 0.2372222842746117
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612776202735392 | compensation: 0 | factor: 0.51427242 | impact: 0.23722235806991404
Processing PV (QUAD:IN20:122:BACT | Model (<PV 'test:SQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: -0.004151502760781973 | compensation: 0 | factor: -0.47619047600000003 | impact: 0.001976906075772082
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612777070225092 | compensation: 0 | factor: 0.51427242 | impact: 0.23722240268251676
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.0032002884182063987 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015239468652029921
Processing PV (QUAD:IN20:122:BACT | Model (<PV 'test:SQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: -0.0041512281748992685 | compensation: 0 | factor: -0.47619047600000003 | impact: 0.001976775320589894
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612776438072658 | compensation: 0 | factor: 0.51427242 | impact: 0.2372223701726606
Processing PV (QUAD:IN20:122:BACT | Model (<PV 'test:SQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: -0.00415068198776302 | compensation: 0 | factor: -0.47619047600000003 | impact: 0.0019765152314774985
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.461277441656077 | compensation: 0 | factor: 0.51427242 | impact: 0.2372222662118795
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.003200563316809373 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015240777692995943
Processing PV (QUAD:IN20:122:BACT | Model (<PV 'test:SQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: -0.0041509550813311445 | compensation: 0 | factor: -0.47619047600000003 | impact: 0.0019766452760336967
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.46127774562147245 | compensation: 0 | factor: 0.51427242 | impact: 0.23722242253289902
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.0032002884182063987 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015239468652029921
Processing PV (QUAD:IN20:122:BACT | Model (<PV 'test:SQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: -0.00415068198776302 | compensation: 0 | factor: -0.47619047600000003 | impact: 0.0019765152314774985
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612776631067486 | compensation: 0 | factor: 0.51427242 | impact: 0.23722238009785232
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.003200563316809373 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015240777692995943
Processing PV (QUAD:IN20:122:BACT | Model (<PV 'test:SQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: -0.0041512281748992685 | compensation: 0 | factor: -0.47619047600000003 | impact: 0.001976775320589894
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612776644852758 | compensation: 0 | factor: 0.51427242 | impact: 0.2372223808067908
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612778144001584 | compensation: 0 | factor: 0.51427242 | impact: 0.2372224579038803
2021-02-10 10:41:33,790 - INFO - Finishing Bridge...
2021-02-10 10:41:33,790 - INFO - Done!
